date,type,symbol,instrumentType,quantity,unit_price,currency,fee,amount,comment,fxRate,subtype
2025-01-15,BUY,APC.DE,,10,180.00,EUR,1.50,,Apple via XETRA - issuer is US should NOT be Europe,,
2025-01-15,BUY,NVD.DE,,5,120.00,EUR,1.50,,Nvidia via XETRA - issuer is US should NOT be Europe,,
2025-01-15,BUY,AMZ.DE,,4,180.00,EUR,1.50,,Amazon via XETRA - issuer is US should NOT be Europe,,
2025-01-15,BUY,ASME.DE,,3,650.00,EUR,1.50,,ASML via XETRA - issuer is NL should NOT be Germany,,
2025-01-15,BUY,TL0.DE,,8,210.00,EUR,1.50,,Tesla via XETRA - issuer is US should NOT be Europe,,
2025-01-15,BUY,PTX.DE,,12,75.00,EUR,1.50,,Palantir via XETRA - issuer is US should NOT be Europe,,
2025-01-15,BUY,MSF.DE,,6,400.00,EUR,1.50,,Microsoft via XETRA - issuer is US should NOT be Europe,,
2025-01-16,BUY,SAP.DE,,15,140.00,EUR,1.50,,SAP - control row genuinely European issuer,,
2025-01-16,BUY,SIE.DE,,5,180.00,EUR,1.50,,Siemens - control row genuinely European issuer,,
2025-01-17,BUY,AAPL,,10,200.00,USD,1.00,,Apple on NASDAQ - control should classify US,,
2025-01-17,BUY,NVDA,,5,130.00,USD,1.00,,Nvidia on NASDAQ - control should classify US,,
2025-01-17,BUY,TSLA,,8,230.00,USD,1.00,,Tesla on NASDAQ - control should classify US,,
2025-01-17,BUY,ASML,,2,720.00,USD,1.00,,ASML ADR on NASDAQ - control should classify NL,,
2025-01-20,BUY,VWCE.DE,,25,110.00,EUR,1.50,,Vanguard FTSE All-World UCITS ETF - GLOBAL not Europe,,
2025-01-20,BUY,IUSQ.DE,,10,80.00,EUR,1.50,,iShares MSCI World UCITS ETF - GLOBAL not Europe,,
2025-01-20,BUY,EUNL.DE,,15,90.00,EUR,1.50,,iShares Core MSCI World - GLOBAL not Europe,,
2025-01-21,BUY,VOO,,5,500.00,USD,1.00,,Vanguard S&P 500 US ETF - control should be US,,
2025-01-25,BUY,4GLD.DE,,20,55.00,EUR,1.50,,Xetra-Gold ETC - should classify METAL not EQUITY,,
2025-01-25,BUY,WSLV.DE,,30,28.00,EUR,1.50,,WisdomTree Physical Silver - should classify METAL not EQUITY,,
2025-01-25,BUY,SGLN.L,,12,42.00,GBP,1.50,,iShares Physical Gold ETC London - should classify METAL not EQUITY,,1.18
2025-01-26,BUY,PHYS,,15,18.00,USD,1.00,,Sprott Physical Gold US - control should classify METAL,,
2025-02-01,BUY,APC.DE,,5,182.00,EUR,1.50,,Same German Apple again - tests dedup with existing .DE asset,,
2025-02-01,BUY,APC,,5,30.00,USD,1.00,,Different APC ticker on US exchange - must NOT collapse with APC.DE,,
2025-02-05,BUY,VOD.L,,500,70.50,GBp,1.50,,Vodafone on LSE quoted in pence - issuer UK should be Europe,,
2025-02-05,BUY,BP.L,,200,415.20,GBp,1.50,,BP on LSE quoted in pence - issuer UK should be Europe,,
2025-02-10,BUY,JNJ,,12,155.00,USD,1.00,,Johnson & Johnson on NYSE - control should be US,,
2025-02-10,BUY,JPM,,8,210.00,USD,1.00,,JPMorgan on NYSE - control should be US,,
2025-02-10,BUY,KO,,40,62.00,USD,1.00,,Coca-Cola on NYSE - control should be US,,
2025-02-10,BUY,BRK.B,,3,440.00,USD,1.00,,Berkshire Hathaway B - share-class dot must NOT be stripped,,
2025-02-12,BUY,SHOP.TO,,10,95.00,CAD,1.00,,Shopify on TSX in CAD - issuer CA should be North America,,1.36
2025-02-12,BUY,RY.TO,,15,135.00,CAD,1.00,,Royal Bank of Canada on TSX - issuer CA,,1.36
2025-02-12,BUY,ENB.TO,,30,52.00,CAD,1.00,,Enbridge on TSX - issuer CA,,1.36
2025-02-13,BUY,SHOP,,10,72.00,USD,1.00,,Shopify on NYSE same issuer different listing - must NOT collapse with SHOP.TO,,
2025-02-15,BUY,BABA,,8,82.00,USD,1.00,,Alibaba ADR on NYSE - issuer China should classify Asia not US,,
2025-02-15,BUY,TSM,,15,180.00,USD,1.00,,TSMC ADR on NYSE - issuer Taiwan should classify Asia not US,,
2025-02-20,BUY,BTC-USD,,0.05,95000.00,USD,5.00,,Bitcoin - should classify CRYPTO,,
2025-02-20,BUY,ETH-USD,,1.5,3200.00,USD,5.00,,Ethereum - should classify CRYPTO,,
