date,account,activityType,symbol,isin,quantity,unitPrice,amount,currency,fee,comment,fxRate,subtype,instrumentType
2024-01-10,Import USD Account,BUY,MSFT,,10,380.50,3805.00,USD,4.95,e2e-msft-buy,,,EQUITY
2024-02-10,Import USD Account,SELL,MSFT,,5,410.00,2050.00,USD,4.95,e2e-msft-sell,,,EQUITY
2024-03-10,Import USD Account,DIVIDEND,MSFT,,10,0.75,7.50,USD,0,e2e-msft-dividend,,DRIP,EQUITY
2024-04-10,Import USD Account,SPLIT,MSFT,,4,1,4,USD,0,e2e-msft-split,,,EQUITY
2024-05-10,Import USD Account,FEE,MSFT,,1,12.00,12.00,USD,0,e2e-msft-fee,,,EQUITY
2024-06-10,Import USD Account,TAX,MSFT,,1,25.00,25.00,USD,0,e2e-msft-tax,,,EQUITY
2024-01-15,Import USD Account,BUY,VOO,,3,450.00,1350.00,USD,0,e2e-voo-buy,,,EQUITY
2024-03-15,Import USD Account,SELL,VOO,,1,460.00,460.00,USD,0,e2e-voo-sell,,,EQUITY
2024-04-15,Import EUR Account,DIVIDEND,VOO,,3,1.50,4.50,USD,0,e2e-voo-dividend,0.92,DRIP,EQUITY
2024-01-20,Import USD Account,BUY,IT0005441883,IT0005441883,1000,99.50,99500.00,EUR,9.95,e2e-bond-buy,1.08,,BOND
2024-05-20,Import USD Account,SELL,IT0005441883,IT0005441883,500,100.50,50250.00,EUR,9.95,e2e-bond-sell,1.09,,BOND
2024-03-20,Import EUR Account,INTEREST,IT0005441883,IT0005441883,1000,2.00,2000.00,EUR,0,e2e-bond-interest,,STAKING_REWARD,BOND
2024-04-20,Import USD Account,TAX,IT0005441883,IT0005441883,1,600.00,600.00,EUR,0,e2e-bond-tax,1.08,,BOND
2024-01-25,Import USD Account,BUY,BTC-USD,,0.5,40000.00,20000.00,USD,20.00,e2e-crypto-buy,,,CRYPTO
2024-03-25,Import USD Account,SELL,BTC-USD,,0.25,45000.00,11250.00,USD,18.00,e2e-crypto-sell,,,CRYPTO
2024-05-25,Import EUR Account,FEE,BTC-USD,,1,5.00,5.00,USD,0,e2e-crypto-fee,0.92,,CRYPTO
2024-01-28,Import USD Account,BUY,AAPL270115C00200000,,2,1500.00,3000.00,USD,1.30,e2e-option-buy,,,OPTION
2024-04-28,Import USD Account,SELL,AAPL270115C00200000,,2,2000.00,4000.00,USD,1.30,e2e-option-sell,,,OPTION
2024-02-05,Import USD Account,BUY,GLD,,1,190.00,190.00,USD,0,e2e-metal-buy,,,METAL
2024-05-05,Import USD Account,SELL,GLD,,1,200.00,200.00,USD,0,e2e-metal-sell,,,METAL
2024-02-10,Import USD Account,BUY,FXE,,100,108.00,10800.00,USD,0,e2e-fx-buy,,,FX
2024-05-10,Import USD Account,SELL,FXE,,100,106.00,10600.00,USD,0,e2e-fx-sell,,,FX
2024-01-05,Import USD Account,DEPOSIT,,,1,1,5000.00,USD,0,e2e-deposit,,,
2024-02-05,Import USD Account,WITHDRAWAL,,,1,1,2000.00,USD,0,e2e-withdrawal,,,
2024-03-05,Import USD Account,TRANSFER_IN,,,1,1,3000.00,USD,0,e2e-transfer-in,,,
2024-04-05,Import USD Account,TRANSFER_OUT,,,1,1,1000.00,USD,0,e2e-transfer-out,,,
2024-05-12,Import USD Account,CREDIT,,,1,1,100.00,USD,0,e2e-credit,,BONUS,
2024-06-12,Import USD Account,ADJUSTMENT,AAPL270115C00200000,,2,0,0,USD,0,e2e-adjustment,,OPTION_EXPIRY,OPTION
